Year,,İlin əvvəlinə qalıq (ton),İstehsal (ton),İdxal (ton),Ehtiyatların cəmi (ton)
2024,,318354.0,1838903.0,80475.0,2237732.0
2023,,317893.0,1825592.0,58453.0,2201938.0
2022,,313037.0,1823330.0,54638.0,2191005.0
2021,,275222.0,1815512.0,63951.0,2154685.0
2020,,263922.0,1738860.0,56037.0,2058819.0
2019,,219804.0,1714678.0,39806.0,1974288.0
2018,,205223.0,1521931.0,36794.0,1763948.0
2017,,203338.0,1405619.0,45917.0,1654874.0
2016,,189282.0,1270622.0,61184.0,1521088.0
2015,,179484.0,1275257.0,41984.0,1496725.0
2014,,196990.0,1187681.0,38765.0,1423436.0
2013,,199515.0,1236331.0,37752.0,1473598.0
2012,,206299.0,1216240.0,69952.0,1492491.0
2011,,199434.0,1214758.0,121117.0,1535309.0
2010,,201800.0,1189465.0,84921.0,1476186.0
2009,,189938.0,1178595.0,50207.0,1418740.0
2008,,184520.0,1228312.0,26849.0,1439681.0
2007,,175509.0,1227350.0,68033.0,1470892.0
